CCL2EnEr,CCL2EnPm,CCL2EnRabA,CCL2EnRabB,CCL2EnRabC,CCL2EnRabD,CCL2EnRabE,CCL2EnRabF,CCL2EnRabG,CCL2EnRabH,CCL2EnRabI,CCR2-LEnEr,CCR2-LEnPm,CCR2-LEnRabA,CCR2-LEnRabB,CCR2-LEnRabC,CCR2-LEnRabD,CCR2-LEnRabE,CCR2-LEnRabF,CCR2-LEnRabG,CCR2-LEnRabH,CCR2-LEnRabI,CCR2EnEr,CCR2EnPm,CCR2EnRabA,CCR2EnRabB,CCR2EnRabC,CCR2EnRabD,CCR2EnRabE,CCR2EnRabF,CCR2EnRabG,CCR2EnRabH,CCR2EnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,
0.0,4785000.0,6846.0,2719.0,745.1,3587.0,504.0,33.31,43.39,17.32,27.35,0.0,16730.0,2523.0,3147.0,865.0,655.2,65.31,3.233,4.156,2.222,3.638,0.0,167300.0,25230.0,31470.0,8650.0,6552.0,653.1,32.33,41.56,22.22,36.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54,14.89,11.1,131.9,11.63,0.8256,1.443,0.6049,1.063,1.0E-4,0.0,1328.0,335.2,181.7,167.3,176.7,120.0,13.19,125.0,137.5,340.7,
0.0,4785000.0,6846.0,2724.0,733.3,3577.0,504.0,33.3,43.37,17.31,27.33,0.0,16760.0,2504.0,3151.0,857.2,646.7,65.31,3.233,4.156,2.222,3.638,0.0,167600.0,25040.0,31510.0,8572.0,6467.0,653.1,32.33,41.56,22.22,36.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54,14.91,11.07,130.9,11.63,0.8253,1.437,0.6031,1.059,1.0E-4,0.0,1345.0,335.1,182.0,169.5,176.2,120.0,13.19,125.0,137.5,340.7,
0.0,4784000.0,8061.0,2797.0,727.5,3584.0,504.0,33.28,43.27,17.44,27.16,0.0,16200.0,3065.0,3179.0,830.5,646.8,65.31,3.233,4.156,2.224,3.636,0.0,162000.0,30650.0,31790.0,8305.0,6468.0,653.1,32.33,41.56,22.24,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.37,15.08,11.07,130.9,11.63,0.8253,1.437,0.6031,1.059,1.0E-4,0.0,1359.0,382.8,184.8,174.1,177.2,120.0,14.98,121.5,172.3,307.6,
0.0,4784000.0,7978.0,2870.0,720.8,3575.0,503.9,33.24,43.18,17.41,27.11,0.0,16230.0,2834.0,3410.0,801.8,646.8,65.31,3.233,4.156,2.224,3.636,0.0,162300.0,28340.0,34100.0,8018.0,6468.0,653.1,32.33,41.56,22.24,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.37,15.08,11.07,130.9,11.63,0.8253,1.437,0.6031,1.059,1.0E-4,0.0,1383.0,380.0,187.2,180.7,176.8,120.0,14.98,121.5,172.3,307.6,
0.0,4784000.0,7952.0,2821.0,756.4,3596.0,528.1,32.01,39.78,14.95,24.15,0.0,16230.0,2799.0,3475.0,872.6,553.0,59.11,3.663,4.198,1.492,2.753,0.0,162300.0,27990.0,34750.0,8726.0,5530.0,591.1,36.63,41.98,14.92,27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.85,11.93,10.89,134.3,13.64,0.7852,1.295,0.467,0.8954,1.0E-4,0.0,1398.0,378.7,186.9,179.0,178.2,123.0,14.99,122.0,170.4,307.5,
0.0,4784000.0,7924.0,2835.0,759.7,3552.0,529.7,35.82,44.39,17.06,26.74,0.0,16310.0,2578.0,3665.0,828.9,550.5,59.22,3.764,4.408,1.637,2.929,0.0,163100.0,25780.0,36650.0,8289.0,5505.0,592.2,37.64,44.08,16.37,29.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41,12.16,11.55,132.8,13.75,0.9857,1.64,0.6059,1.063,1.0E-4,0.0,1401.0,377.7,190.6,182.1,176.0,123.1,86.63,49.7,170.6,308.6,
0.0,4784000.0,7922.0,2837.0,748.9,3546.0,522.8,37.28,44.14,17.25,26.46,0.0,16330.0,2570.0,3669.0,808.5,550.5,59.19,3.776,4.407,1.639,2.926,0.0,163300.0,25700.0,36690.0,8085.0,5505.0,591.9,37.76,44.07,16.39,29.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.45,12.18,11.6,134.7,13.76,0.9939,1.659,0.6131,1.073,1.0E-4,0.0,1439.0,377.5,190.6,173.7,175.6,117.9,92.35,48.87,183.9,295.1,
0.0,4783000.0,8647.0,2785.0,737.2,3777.0,518.6,36.18,44.39,17.24,26.44,0.0,15920.0,2879.0,3648.0,782.4,703.2,59.16,3.767,4.409,1.639,2.926,0.0,159200.0,28790.0,36480.0,7824.0,7032.0,591.6,37.67,44.09,16.39,29.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.49,12.26,11.58,134.6,13.75,0.9936,1.653,0.6113,1.069,1.0E-4,0.0,1448.0,406.1,188.8,177.2,184.9,119.0,88.18,53.1,181.0,295.2,
0.0,4783000.0,8611.0,2770.0,770.7,3770.0,515.5,36.68,45.07,18.01,27.42,0.0,15960.0,2874.0,3569.0,823.7,703.2,59.14,3.77,4.413,1.643,2.931,0.0,159600.0,28740.0,35690.0,8237.0,7032.0,591.4,37.7,44.13,16.43,29.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.49,12.23,11.61,134.6,13.75,0.9936,1.653,0.6113,1.069,1.0E-4,0.0,1475.0,404.2,189.9,170.7,185.0,118.2,88.28,53.55,181.0,295.3,
0.0,4783000.0,8704.0,2567.0,828.5,3800.0,515.5,39.32,44.43,18.0,27.37,0.0,15990.0,2795.0,3666.0,765.4,715.2,59.14,3.594,4.164,1.643,2.931,0.0,159900.0,27950.0,36660.0,7654.0,7152.0,591.4,35.94,41.64,16.43,29.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75,8.046,12.49,134.6,13.75,0.9936,1.653,0.6113,1.069,1.0E-4,0.0,1487.0,413.6,177.7,174.0,186.1,118.2,88.35,60.15,180.5,288.9,
