entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.242,0.4366,0.1261,0.06229,0.05765,0.08834,0.06014,0.04451,0.02343,0.03432,0.04755,0.03492,0.2111,0.2097,
2.244,0.436,0.1328,0.06201,0.05778,0.08824,0.0568,0.04491,0.02296,0.03605,0.0478,0.03489,0.2098,0.2059,
2.245,0.4454,0.1296,0.06213,0.05793,0.09087,0.05682,0.04493,0.0235,0.03554,0.04782,0.03491,0.2099,0.206,
2.245,0.4471,0.1291,0.06229,0.05795,0.09077,0.05676,0.04489,0.02401,0.03497,0.04777,0.03489,0.2108,0.2058,
2.245,0.4478,0.1291,0.06209,0.05814,0.09077,0.05676,0.04489,0.02401,0.03662,0.04612,0.03489,0.2108,0.2058,
2.262,0.4367,0.129,0.06203,0.05807,0.09068,0.0567,0.04537,0.02345,0.03764,0.05778,0.03487,0.1988,0.2056,
2.262,0.4376,0.1289,0.06225,0.05809,0.09006,0.05629,0.0453,0.02427,0.03671,0.05782,0.0349,0.199,0.2064,
2.263,0.446,0.1213,0.0626,0.05799,0.09652,0.05621,0.04523,0.02522,0.03566,0.05773,0.03473,0.2007,0.2061,
2.263,0.4498,0.1167,0.06266,0.058,0.1004,0.05618,0.0452,0.02521,0.03564,0.0577,0.03472,0.2016,0.206,
2.264,0.4634,0.1165,0.06282,0.05805,0.1004,0.05618,0.0452,0.02521,0.03652,0.05682,0.03473,0.2016,0.206,
2.262,0.4565,0.1163,0.06293,0.05811,0.1004,0.05472,0.0452,0.02521,0.03652,0.05682,0.03473,0.2016,0.2075,
2.262,0.4578,0.1163,0.06293,0.05808,0.1004,0.05419,0.04507,0.02521,0.03807,0.05527,0.03475,0.2016,0.2081,
2.262,0.4616,0.1163,0.06288,0.0582,0.0996,0.05422,0.04513,0.02524,0.03965,0.05374,0.03476,0.2018,0.2084,
2.262,0.4635,0.1155,0.06293,0.05841,0.09939,0.05429,0.04517,0.02527,0.04067,0.05283,0.03481,0.2021,0.2087,
2.241,0.4314,0.1153,0.06276,0.05849,0.09929,0.08066,0.0187,0.02524,0.04063,0.05278,0.03478,0.2029,0.2085,
2.24,0.4402,0.1144,0.06323,0.05867,0.09933,0.08156,0.01784,0.02525,0.04065,0.0528,0.03471,0.203,0.2086,
2.239,0.4403,0.1143,0.06316,0.05884,0.09933,0.08069,0.01762,0.02514,0.04052,0.0528,0.03473,0.203,0.2099,
2.236,0.4674,0.1131,0.06307,0.059,0.1001,0.07987,0.01659,0.02514,0.04364,0.04971,0.03475,0.2031,0.2119,
2.237,0.4368,0.1151,0.06291,0.05897,0.1004,0.07921,0.0166,0.02558,0.04458,0.04835,0.0346,0.2043,0.2094,
2.236,0.4364,0.115,0.06296,0.05908,0.1001,0.07977,0.01608,0.02559,0.0446,0.04837,0.03461,0.2044,0.2095,
2.235,0.4378,0.1148,0.06288,0.05904,0.09982,0.0797,0.01607,0.02557,0.04457,0.04832,0.0346,0.2053,0.2094,
2.235,0.4392,0.1146,0.06304,0.05907,0.09982,0.0797,0.01607,0.02557,0.04457,0.04832,0.03462,0.2053,0.2094,
2.234,0.4402,0.114,0.06317,0.05905,0.09961,0.07996,0.01604,0.02509,0.04448,0.04822,0.03456,0.2069,0.2089,
2.233,0.4457,0.1138,0.06304,0.05903,0.09966,0.07947,0.01591,0.0261,0.04404,0.04771,0.03459,0.207,0.2097,
2.233,0.4526,0.1127,0.06391,0.05925,0.09966,0.07989,0.01548,0.0261,0.04404,0.04771,0.0346,0.207,0.2097,
2.234,0.4537,0.1126,0.06402,0.05932,0.09933,0.07992,0.01606,0.02552,0.04405,0.04773,0.03462,0.2071,0.2098,
2.234,0.455,0.1122,0.06426,0.05933,0.09916,0.07993,0.01685,0.02474,0.04407,0.04774,0.03465,0.2072,0.2099,
2.234,0.4533,0.1122,0.06428,0.05944,0.09884,0.0805,0.01667,0.02483,0.04454,0.04686,0.03465,0.2073,0.21,
2.233,0.4557,0.1116,0.06459,0.05942,0.09873,0.08084,0.01718,0.02385,0.04449,0.04681,0.03463,0.2081,0.2098,
2.233,0.4548,0.111,0.06441,0.05951,0.0988,0.08091,0.0172,0.0243,0.04535,0.04561,0.03466,0.2083,0.2099,
2.231,0.455,0.1107,0.06414,0.05958,0.09874,0.08044,0.01751,0.02372,0.04629,0.04461,0.03465,0.2092,0.2105,
2.23,0.4408,0.1104,0.06443,0.05968,0.09809,0.0814,0.01661,0.02427,0.04579,0.04463,0.03468,0.2094,0.2107,
2.23,0.4396,0.1102,0.0646,0.05966,0.09809,0.08193,0.01608,0.02427,0.04579,0.04463,0.0347,0.2094,0.2107,
2.224,0.4408,0.1098,0.06468,0.05966,0.09814,0.0773,0.01595,0.02411,0.04569,0.04453,0.03473,0.2095,0.216,
2.223,0.4397,0.1096,0.06443,0.05972,0.09801,0.07699,0.01587,0.02401,0.04559,0.04455,0.03477,0.2096,0.2169,
2.223,0.4357,0.114,0.06409,0.05991,0.09747,0.07575,0.01584,0.02395,0.04551,0.04448,0.03471,0.2114,0.2129,
2.232,0.4371,0.1128,0.06432,0.05984,0.1006,0.07567,0.01662,0.02314,0.04908,0.04574,0.03468,0.2073,0.2103,
