entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.248,0.4748,0.1151,0.06123,0.05899,0.09176,0.06617,0.04377,0.03176,0.03316,0.04092,0.03371,0.2111,0.2123,
2.247,0.4826,0.1147,0.0614,0.05904,0.09133,0.06612,0.04374,0.03172,0.03457,0.03945,0.0337,0.212,0.2122,
2.246,0.4869,0.1142,0.06124,0.05907,0.09097,0.06601,0.04367,0.03166,0.03451,0.03938,0.03365,0.2138,0.2118,
2.246,0.4839,0.114,0.06121,0.05924,0.09097,0.06601,0.04367,0.03166,0.03451,0.03938,0.03366,0.2138,0.2118,
2.246,0.4683,0.1141,0.06122,0.05942,0.0898,0.06652,0.04329,0.0317,0.03581,0.03817,0.03371,0.2141,0.2121,
2.245,0.4675,0.114,0.06146,0.05966,0.08832,0.06596,0.04337,0.03175,0.03586,0.03823,0.03375,0.2145,0.2132,
2.26,0.4632,0.1138,0.06141,0.05967,0.08822,0.06485,0.04332,0.03118,0.03582,0.05005,0.03373,0.2034,0.2145,
2.259,0.4633,0.1133,0.06135,0.0597,0.08813,0.06412,0.04328,0.03115,0.03579,0.05,0.03369,0.2043,0.2152,
2.259,0.4801,0.113,0.06113,0.05979,0.0892,0.06405,0.04323,0.03112,0.03575,0.04995,0.03367,0.2051,0.214,
2.259,0.4603,0.1126,0.06094,0.06003,0.08924,0.06408,0.04325,0.03113,0.03746,0.04828,0.03369,0.2052,0.2141,
2.26,0.4604,0.1125,0.06112,0.06005,0.08888,0.0641,0.04327,0.03114,0.03864,0.04714,0.03373,0.2053,0.2142,
2.259,0.4681,0.1113,0.06123,0.06016,0.08858,0.06458,0.04287,0.03115,0.0392,0.04664,0.03376,0.2054,0.2151,
2.259,0.4697,0.1111,0.06127,0.0603,0.08808,0.06463,0.04291,0.03117,0.03923,0.04666,0.03378,0.2056,0.2153,
2.256,0.4623,0.1083,0.06146,0.05917,0.08808,0.06463,0.04345,0.03063,0.03977,0.04612,0.03377,0.2056,0.219,
2.256,0.4662,0.1072,0.06047,0.05936,0.08936,0.06469,0.04349,0.03066,0.04124,0.04472,0.03381,0.2058,0.2192,
2.256,0.4701,0.1071,0.06056,0.05934,0.08936,0.06469,0.04349,0.03109,0.04081,0.04472,0.03382,0.2058,0.2192,
2.256,0.4766,0.1069,0.06066,0.0595,0.089,0.06471,0.0435,0.0311,0.04299,0.04258,0.03385,0.2059,0.2193,
2.256,0.4734,0.1101,0.06056,0.05954,0.0889,0.06307,0.04346,0.03107,0.04295,0.04253,0.03381,0.2067,0.2173,
2.256,0.5079,0.108,0.06055,0.05966,0.09018,0.06307,0.04412,0.03113,0.04223,0.04253,0.03382,0.2067,0.218,
2.257,0.4708,0.1109,0.06028,0.05977,0.0892,0.06311,0.04416,0.03115,0.04226,0.04257,0.03387,0.2079,0.2148,
2.254,0.4906,0.1127,0.06,0.05963,0.08892,0.06224,0.04402,0.04287,0.03031,0.04243,0.0331,0.2104,0.2134,
2.253,0.4751,0.111,0.06007,0.05962,0.08987,0.06224,0.04402,0.04358,0.02959,0.04243,0.03311,0.2104,0.214,
2.254,0.4754,0.1133,0.05997,0.05957,0.08978,0.06218,0.04451,0.043,0.02956,0.04239,0.0331,0.2112,0.2114,
2.229,0.4406,0.1131,0.05984,0.06002,0.08909,0.08943,0.01733,0.04303,0.0307,0.04129,0.03314,0.2114,0.2116,
2.227,0.4549,0.112,0.05969,0.05818,0.08921,0.08955,0.01736,0.04381,0.03002,0.04135,0.0332,0.2117,0.2139,
2.226,0.4545,0.1117,0.05955,0.05823,0.08867,0.08953,0.01735,0.0438,0.03002,0.04134,0.03321,0.2127,0.2139,
2.229,0.4542,0.1113,0.05968,0.05831,0.08858,0.08742,0.032,0.02909,0.02998,0.04129,0.03318,0.2135,0.2157,
2.234,0.4581,0.1118,0.05986,0.05833,0.08848,0.08733,0.03197,0.0296,0.02942,0.04377,0.03316,0.2119,0.2145,
2.234,0.4571,0.1135,0.05978,0.05833,0.08803,0.08726,0.03194,0.03,0.02897,0.04374,0.03314,0.2128,0.2125,
2.236,0.4545,0.1132,0.05974,0.0584,0.08794,0.08717,0.03191,0.03078,0.02813,0.04521,0.03311,0.2121,0.2123,
2.236,0.4517,0.1127,0.05987,0.05838,0.08798,0.08721,0.03192,0.03079,0.02814,0.04523,0.03317,0.2122,0.2124,
2.235,0.4539,0.1125,0.05968,0.05853,0.08769,0.08729,0.03195,0.03125,0.02773,0.04526,0.03319,0.2124,0.2125,
2.236,0.4573,0.1122,0.05928,0.05889,0.08772,0.08732,0.03196,0.03242,0.02712,0.04474,0.03322,0.2125,0.2126,
2.235,0.4584,0.1111,0.05954,0.05882,0.08763,0.08723,0.03193,0.03238,0.02821,0.04358,0.0332,0.2133,0.2131,
2.253,0.4499,0.1119,0.05961,0.05876,0.08746,0.08449,0.03234,0.03193,0.02873,0.05708,0.03318,0.2002,0.2143,
2.253,0.4805,0.1109,0.05995,0.0588,0.08746,0.08449,0.03234,0.03193,0.02873,0.05708,0.03318,0.2002,0.215,
2.255,0.4743,0.1143,0.05986,0.05884,0.08737,0.0844,0.03231,0.03233,0.02827,0.05702,0.03316,0.201,0.2112,
2.256,0.4655,0.1118,0.05976,0.0591,0.08872,0.08242,0.03232,0.03327,0.03381,0.05059,0.03317,0.2011,0.2139,
2.256,0.4653,0.1136,0.05984,0.05905,0.08822,0.08171,0.0323,0.03325,0.03379,0.05057,0.03317,0.202,0.2126,
2.256,0.4634,0.1133,0.0601,0.05906,0.08822,0.08171,0.0323,0.03325,0.03379,0.05057,0.0332,0.202,0.2126,
2.258,0.4619,0.1127,0.06017,0.05904,0.08954,0.08209,0.03185,0.03323,0.039,0.0453,0.0332,0.2029,0.211,
2.258,0.4685,0.1126,0.06022,0.05903,0.08954,0.08209,0.03185,0.03366,0.03857,0.0453,0.03321,0.2029,0.211,
2.256,0.4645,0.1128,0.05989,0.05904,0.08889,0.08085,0.03189,0.0337,0.03862,0.04535,0.03324,0.2031,0.2126,
2.257,0.5496,0.1105,0.05983,0.05906,0.09115,0.08085,0.03189,0.0337,0.03962,0.04434,0.03327,0.2031,0.2126,
2.256,0.5426,0.111,0.05997,0.05928,0.09098,0.07959,0.03187,0.03368,0.0396,0.04432,0.03326,0.204,0.2125,
2.256,0.5395,0.1091,0.06011,0.0593,0.09102,0.07962,0.03189,0.0337,0.04015,0.0438,0.03328,0.2041,0.2139,
2.255,0.449,0.1117,0.06011,0.05932,0.09097,0.07734,0.03187,0.03564,0.03816,0.04377,0.03326,0.205,0.2128,
2.252,0.4263,0.1092,0.06009,0.05938,0.09281,0.07461,0.03185,0.03562,0.03814,0.04375,0.03325,0.2059,0.2153,
2.22,0.4427,0.1101,0.0601,0.05946,0.09272,0.09671,0.009633,0.03558,0.0381,0.0437,0.03322,0.2068,0.2139,
2.22,0.4382,0.1118,0.06011,0.05939,0.09262,0.09595,0.009623,0.03554,0.03806,0.04366,0.0332,0.2076,0.2125,
2.221,0.4025,0.1117,0.06014,0.05952,0.09224,0.09599,0.0102,0.03499,0.03807,0.04367,0.03323,0.2077,0.2126,
2.221,0.4404,0.1145,0.06073,0.05955,0.09219,0.09326,0.01019,0.0355,0.03912,0.04204,0.03321,0.2086,0.2111,
2.221,0.3958,0.1091,0.06081,0.05965,0.09653,0.09271,0.0102,0.03555,0.03917,0.0421,0.03326,0.2089,0.2121,
2.22,0.3945,0.109,0.06083,0.05971,0.09653,0.0907,0.0102,0.03555,0.0397,0.04156,0.03327,0.2089,0.2141,
2.22,0.4033,0.1067,0.06081,0.05975,0.09851,0.09073,0.01055,0.03522,0.03972,0.04158,0.03329,0.209,0.2142,
2.22,0.393,0.1066,0.06081,0.0598,0.09851,0.09006,0.01055,0.03575,0.03918,0.04158,0.0333,0.209,0.2148,
2.211,0.4482,0.1064,0.06086,0.06,0.09851,0.0894,0.01055,0.05586,0.01998,0.04069,0.0333,0.209,0.2155,
2.209,0.4235,0.1059,0.06073,0.06024,0.09856,0.0881,0.01055,0.05588,0.01998,0.04071,0.03335,0.2091,0.2169,
2.208,0.4027,0.1046,0.06066,0.06029,0.09986,0.08743,0.01055,0.05677,0.01963,0.04017,0.03336,0.2091,0.2176,
2.207,0.407,0.1045,0.06062,0.06045,0.09986,0.08609,0.01055,0.0572,0.0192,0.04017,0.03338,0.2091,0.219,
2.208,0.4082,0.1073,0.0605,0.06044,0.09976,0.086,0.01054,0.05714,0.01918,0.04013,0.03335,0.2099,0.2158,
2.207,0.4059,0.1073,0.06032,0.06066,0.09911,0.0864,0.0102,0.05717,0.01919,0.04016,0.03338,0.2101,0.216,
2.206,0.4096,0.106,0.06008,0.061,0.09938,0.08509,0.01021,0.05719,0.01919,0.04016,0.0334,0.2102,0.2181,
2.204,0.4208,0.1055,0.06015,0.06095,0.09926,0.08405,0.01021,0.05724,0.01921,0.0402,0.03345,0.2103,0.2194,
2.205,0.4071,0.1052,0.06035,0.06111,0.09894,0.08274,0.01022,0.05727,0.02236,0.03706,0.03348,0.2104,0.2209,
2.205,0.3976,0.1082,0.06023,0.06118,0.09888,0.08157,0.01021,0.05848,0.0211,0.03704,0.03346,0.2114,0.2183,
2.205,0.3996,0.1081,0.06026,0.06128,0.09853,0.0816,0.01021,0.05851,0.02111,0.03706,0.03349,0.2115,0.2184,
2.205,0.4012,0.1074,0.06041,0.06149,0.09857,0.08163,0.01022,0.05853,0.02112,0.03707,0.0335,0.2116,0.2185,
2.206,0.4085,0.1069,0.06047,0.0616,0.09862,0.07921,0.01161,0.05717,0.02346,0.03475,0.03353,0.2116,0.221,
2.204,0.4136,0.1062,0.06069,0.0617,0.09866,0.07777,0.01151,0.05677,0.02401,0.03423,0.03356,0.2117,0.2231,
2.204,0.4282,0.1076,0.06061,0.06176,0.09883,0.07703,0.0115,0.05673,0.02515,0.03304,0.03353,0.2127,0.2216,
2.232,0.4327,0.1098,0.0606,0.06172,0.09797,0.07693,0.03411,0.03404,0.02512,0.03904,0.0335,0.2085,0.2187,
2.231,0.4304,0.1149,0.06063,0.06173,0.09787,0.07351,0.03407,0.034,0.02509,0.039,0.03348,0.2093,0.2164,
2.232,0.4292,0.1178,0.06057,0.06179,0.09761,0.07331,0.03398,0.03434,0.02566,0.03783,0.0334,0.2119,0.2119,
2.241,0.4302,0.119,0.06041,0.06053,0.09716,0.07326,0.03396,0.03432,0.02618,0.04356,0.03336,0.2065,0.2118,
2.237,0.4229,0.1186,0.0605,0.0605,0.09623,0.07316,0.03391,0.03956,0.02086,0.04351,0.03333,0.2083,0.2115,
2.238,0.4255,0.1183,0.06077,0.06045,0.09544,0.07313,0.03425,0.03921,0.02236,0.04198,0.03334,0.2093,0.2115,
2.238,0.433,0.1183,0.06077,0.06044,0.09544,0.07313,0.03425,0.03921,0.02236,0.04198,0.03334,0.2093,0.2115,
2.237,0.4327,0.1181,0.06097,0.06041,0.09542,0.07201,0.03424,0.0392,0.02235,0.04197,0.03335,0.2104,0.2116,
2.233,0.4297,0.1177,0.06109,0.06049,0.09482,0.07007,0.03428,0.03925,0.02327,0.0411,0.03227,0.2106,0.215,
2.248,0.4236,0.1173,0.0613,0.05986,0.09672,0.06707,0.03426,0.03922,0.02324,0.05327,0.03223,0.2004,0.2152,
2.248,0.4234,0.1204,0.0616,0.0597,0.09643,0.06687,0.03415,0.0399,0.02237,0.05311,0.03214,0.2028,0.2105,
