entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.247,0.3888,0.1211,0.05791,0.05531,0.09616,0.03824,0.05487,0.02765,0.03532,0.04274,0.04919,0.2093,0.2122,
2.244,0.4001,0.1208,0.0579,0.05517,0.09596,0.03749,0.05476,0.0276,0.03721,0.04069,0.0491,0.211,0.2124,
2.244,0.3951,0.1209,0.05782,0.05538,0.09452,0.03754,0.05485,0.02764,0.04322,0.03479,0.04918,0.2114,0.2128,
2.242,0.4,0.1206,0.05765,0.0555,0.09456,0.03689,0.05488,0.02766,0.04324,0.0348,0.0492,0.2115,0.2135,
2.242,0.4019,0.1205,0.05741,0.0557,0.09409,0.03686,0.05484,0.02764,0.04322,0.03478,0.0492,0.2124,0.2134,
2.241,0.4058,0.1201,0.05724,0.05571,0.09414,0.03621,0.05488,0.0282,0.04272,0.03481,0.04921,0.2126,0.2143,
2.243,0.3868,0.1248,0.05717,0.05566,0.09371,0.03618,0.05487,0.0282,0.0427,0.03479,0.04917,0.2136,0.2092,
2.255,0.3897,0.1223,0.0569,0.0541,0.09469,0.03615,0.05483,0.02817,0.04356,0.04353,0.04912,0.2059,0.2108,
2.254,0.3917,0.121,0.0577,0.05405,0.09362,0.03607,0.0547,0.02811,0.04347,0.04343,0.04901,0.2085,0.2103,
2.254,0.3993,0.1206,0.0575,0.05435,0.09366,0.03609,0.05526,0.02759,0.04438,0.04256,0.04903,0.2086,0.2104,
2.252,0.3931,0.1187,0.05745,0.05453,0.09335,0.03544,0.05531,0.02761,0.04531,0.04169,0.04906,0.2088,0.2128,
2.251,0.3881,0.1188,0.0569,0.05473,0.09299,0.03548,0.05536,0.02763,0.047,0.04007,0.04912,0.209,0.2129,
2.251,0.3926,0.1189,0.05642,0.05487,0.09266,0.03551,0.0554,0.02766,0.04704,0.0401,0.04917,0.2092,0.2131,
2.25,0.393,0.1189,0.05642,0.05486,0.09266,0.03483,0.0554,0.02819,0.04749,0.03911,0.04919,0.2092,0.2138,
2.249,0.3961,0.1183,0.05672,0.05485,0.09256,0.0348,0.05534,0.02816,0.04798,0.03854,0.04915,0.21,0.2136,
2.249,0.4047,0.1183,0.05683,0.05489,0.0918,0.03536,0.05485,0.02819,0.04801,0.03856,0.04919,0.2102,0.2138,
2.246,0.4202,0.1169,0.05688,0.05499,0.0914,0.0347,0.05488,0.0282,0.05283,0.03379,0.04923,0.2103,0.2159,
2.244,0.4146,0.1164,0.05744,0.05494,0.09134,0.03401,0.05603,0.027,0.05279,0.03377,0.04921,0.2112,0.2158,
2.244,0.4193,0.1158,0.0573,0.05507,0.09109,0.03449,0.05567,0.02776,0.05215,0.03381,0.04929,0.2115,0.2161,
2.243,0.4169,0.1156,0.05751,0.05519,0.09031,0.03398,0.05558,0.02778,0.05219,0.03384,0.04936,0.2117,0.217,
2.243,0.4183,0.1155,0.05745,0.05533,0.09031,0.03398,0.05558,0.02778,0.05219,0.03384,0.04938,0.2117,0.217,
2.245,0.4411,0.1173,0.05745,0.05525,0.09022,0.0501,0.03936,0.02775,0.05321,0.03273,0.04935,0.2125,0.2147,
2.245,0.4224,0.1168,0.05767,0.05526,0.09024,0.05012,0.03938,0.02776,0.05324,0.03274,0.04938,0.2126,0.2148,
2.245,0.3883,0.1208,0.05745,0.05528,0.0897,0.07091,0.01636,0.02771,0.05314,0.04416,0.04929,0.2029,0.2123,
2.245,0.3803,0.1204,0.05743,0.05552,0.08934,0.07096,0.01636,0.02774,0.05453,0.04285,0.04929,0.2031,0.2125,
2.245,0.3885,0.1194,0.0576,0.05565,0.08942,0.07035,0.01638,0.02855,0.05379,0.04289,0.04934,0.2033,0.2134,
2.245,0.3847,0.1209,0.05792,0.05563,0.09053,0.06851,0.01637,0.02896,0.05332,0.04285,0.04932,0.2042,0.2115,
2.245,0.3871,0.1204,0.05802,0.05573,0.09057,0.06854,0.01637,0.02898,0.05334,0.04287,0.04935,0.2042,0.2116,
2.245,0.3922,0.1201,0.05804,0.0557,0.09048,0.06847,0.01636,0.02974,0.05347,0.04185,0.04933,0.2051,0.2114,
2.245,0.3936,0.1195,0.05855,0.05587,0.09012,0.0685,0.01636,0.02975,0.05403,0.04132,0.04935,0.2052,0.2115,
