RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
80336.43,0.0,0.0,0.0,0.0,80336.43,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1962571.3,
74563.76,3848.45,0.0,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1945734.33,
74563.76,3848.45,0.0,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1945734.33,
80336.43,3848.45,3848.45,0.0,0.0,88033.34,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1996245.25,
80336.43,3848.45,3848.45,0.0,0.0,88033.34,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1996245.25,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
