enzyme,enzymeG55,G55,Go3,Gpli,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memERGIC,memERGICRabA,memERGICRabB,memERGICRabC,memERGICRabD,memERGICRabE,memGolgiMedial,memGolgiMedialRabA,memGolgiMedialRabB,memGolgiMedialRabC,memGolgiMedialRabD,memGolgiMedialRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTGN,memTGNRabA,memTGNRabB,memTGNRabC,memTGNRabD,memTGNRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,Spli,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,0.0,53.87831,53.87831,53.87831,0.0,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.54768,0.45232,0.0,0.0,0.0,0.0,4399.53266,3633.46734,0.0,0.0,0.0,0.0,4399.53266,3633.46734,0.0,0.0,0.0,0.0,4399.53266,3633.46734,0.0,0.0,0.0,0.0,4399.53266,3633.46734,0.0,0.0,0.0,0.0,4399.53266,3633.46734,0.0,0.0,0.0,0.0,4399.53266,3633.46734,0.0,0.0,0.0,0.0,4399.53266,3633.46734,0.0,0.0,0.0,0.0,3.1898,50.68851,53.87831,53.87831,0.0,0.0,107486.50329,88770.49671,0.0,0.0,0.0,0.0,107486.50329,88770.49671,0.0,0.0,0.0,0.0,0.54768,0.45232,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,6961.83803,1071.16197,0.0,0.0,0.0,0.0,2948.81408,5084.18592,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2948.81408,5084.18592,0.0,0.0,0.0,0.0,2948.81408,5084.18592,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,3.96583,49.91249,53.87831,53.87831,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,71607.26537,124649.73463,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,6961.83803,1071.16197,0.0,0.0,0.0,0.0,2897.92046,5135.07954,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2897.92046,5135.07954,0.0,0.0,0.0,0.0,2897.92046,5135.07954,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,5.15731,48.721,53.87831,53.87831,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,68722.23868,127534.76132,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,7162.01342,820.43003,43.33418,7.22236,0.0,0.0,2055.83637,5364.3934,525.23162,87.5386,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2493.52939,5233.08549,262.61581,43.7693,0.0,0.0,2493.52939,5233.08549,262.61581,43.7693,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,7.17078,48.04202,52.73447,53.68767,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,58723.65878,129916.79333,6528.46961,1088.07827,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,6893.39319,870.17452,262.20993,7.22236,0.0,0.0,2045.82889,5370.53402,529.09848,87.5386,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2276.07253,5411.70878,301.44939,43.7693,0.0,0.0,2276.07253,5411.70878,301.44939,43.7693,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8.87095,46.65629,52.42003,53.68767,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,53411.61095,134289.63508,7467.6757,1088.07827,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,6112.02866,1762.22527,132.2884,26.45768,0.0,0.0,2139.95249,4816.07268,1061.86462,15.11022,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2306.00291,4903.36848,807.35497,16.27363,0.0,0.0,2306.00291,4903.36848,807.35497,16.27363,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,9.59364,17.16748,81.09678,53.77705,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,54401.73782,120165.4068,21276.7391,413.11627,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,7234.23706,798.76294,0.0,0.0,0.0,0.0,1816.50631,4883.66014,1315.13145,17.70211,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2222.85558,4922.02941,871.84138,16.27363,0.0,0.0,2222.85558,4922.02941,871.84138,16.27363,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,10.08951,17.16958,80.59407,53.78178,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,52405.3528,120779.16174,22652.3951,420.09036,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,6915.58341,1117.41659,0.0,0.0,0.0,0.0,1734.56374,4697.72812,1075.74964,524.9585,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2146.39488,4998.4901,356.51491,531.6001,0.0,0.0,2146.39488,4998.4901,356.51491,531.6001,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,10.00626,17.3723,56.37039,77.88598,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,50907.65018,122452.78888,7488.352,15408.20895,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,6971.11299,1061.88701,0.0,0.0,0.0,0.0,1727.35754,4596.62096,1188.57802,520.44348,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2127.61887,4981.42064,392.36038,531.6001,0.0,0.0,2127.61887,4981.42064,392.36038,531.6001,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,10.34085,17.6575,55.74593,77.89067,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,50469.08142,122193.81449,8178.9998,15415.1043,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
