time, RabAc, RabAm, RabBc, RabBm, RabDc, RabDm, RabCc, RabCm
383, 1860.12, 545.876, 194308, 406.976, 5.87585, 28156.1, 9478.98, 1782.02
384, 1860.12, 545.876, 194308, 406.59, 5.87553, 28156.1, 9478.59, 1782.41
385, 1860.12, 545.875, 194309, 406.205, 5.8752, 28156.1, 9478.21, 1782.79
386, 1860.13, 545.875, 194309, 405.82, 5.87488, 28156.1, 9477.82, 1783.18
387, 1860.13, 545.875, 194310, 405.436, 5.87456, 28156.1, 9477.44, 1783.56
388, 1860.13, 545.874, 194310, 405.052, 5.87424, 28156.1, 9477.05, 1783.95
389, 1860.13, 545.874, 194310, 404.668, 5.87392, 28156.1, 9476.67, 1784.33
390, 1860.13, 545.874, 194311, 404.285, 5.8736, 28156.1, 9476.28, 1784.72
391, 1860.13, 545.873, 194311, 403.902, 5.87328, 28156.1, 9475.9, 1785.1
392, 1860.13, 545.873, 194311, 403.519, 5.87296, 28156.1, 9475.52, 1785.48
393, 1860.13, 545.873, 194312, 403.137, 5.87264, 28156.1, 9475.14, 1785.86
394, 1860.13, 545.872, 194312, 402.755, 5.87232, 28156.1, 9474.76, 1786.24
395, 1860.13, 545.872, 194313, 402.374, 5.872, 28156.1, 9474.37, 1786.63
396, 1860.13, 545.872, 194313, 401.993, 5.87168, 28156.1, 9473.99, 1787.01
397, 1860.13, 545.871, 194313, 401.612, 5.87136, 28156.1, 9473.61, 1787.39
398, 1860.13, 545.871, 194314, 401.232, 5.87104, 28156.1, 9473.23, 1787.77
399, 1860.13, 545.871, 194314, 400.852, 5.87072, 28156.1, 9472.85, 1788.15
400, 1860.13, 545.87, 194315, 400.473, 5.8704, 28156.1, 9472.47, 1788.53
