RabA,RabB,RabC,RabD,RabE,area,memC1,memC2,memC3,memS,memS1,memS2,memS3,membraneMarker,proton,solL,solS,solubleMarker,volume,
1572838.36,15393.8,15393.8,15393.8,15393.8,1634413.58,6960.91,4.29,229.39,0.0,5945.25,239.2,257.89,1.0,92.39,0.0,0.0,0.0,1.579695971E7,
15393.8,61575.22,1569539.69,153938.04,15393.8,1815840.55,184.71,336.02,6864.16,43.78,81.29,40.96,129.7,0.0,193.13,0.0,0.0,1.0,1.76596777E7,
1559643.67,15393.8,15393.8,15393.8,15393.8,1621218.89,6902.15,4.29,229.69,0.0,5887.59,226.6,276.14,1.0,91.6,0.0,0.0,0.0,1.565127044E7,
15393.8,61575.22,1600327.3,107756.63,15393.8,1800446.75,184.71,319.01,6930.81,41.39,76.09,21.3,157.48,0.0,189.66,0.0,0.0,1.0,1.752498191E7,
1512362.7,15393.8,15393.8,15393.8,15393.8,1573937.92,6761.21,4.29,229.54,0.0,5762.24,212.46,289.94,1.0,90.02,0.0,0.0,0.0,1.523639997E7,
15393.8,15393.8,1569539.69,107756.63,15393.8,1723477.73,184.71,79.75,6930.81,38.28,71.31,4.63,174.39,0.0,185.26,0.0,0.0,1.0,1.685150299E7,
1477176.87,15393.8,15393.8,15393.8,15393.8,1538752.08,6453.71,4.26,228.12,0.0,5499.4,194.38,295.3,1.0,86.91,0.0,0.0,0.0,1.487514881E7,
15393.8,15393.8,1507964.47,46181.41,15393.8,1600327.3,184.71,79.75,6861.47,35.7,69.65,1.57,173.87,0.0,180.77,0.0,0.0,1.0,1.577393671E7,
1429895.9,15393.8,15393.8,15393.8,15393.8,1491471.11,6377.93,4.3,230.17,0.0,5429.87,184.19,309.61,1.0,85.35,0.0,0.0,0.0,1.442786944E7,
15393.8,15393.8,1461783.06,46181.41,15393.8,1554145.89,184.71,79.75,6651.34,32.21,67.95,0.86,171.67,0.0,176.14,0.0,0.0,1.0,1.536984935E7,
