#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
10.0,7.0,1.56735,0.43843,0.20045,0.23647,0.21561,0.09732,0.25014,
10.0,21.0,1.57352,0.35087,0.20653,0.27105,0.22689,0.11407,0.18147,
8.0,4.0,1.58185,0.4709,0.21343,0.12875,0.2711,0.20771,0.17899,
7.0,23.0,1.57291,0.46538,0.28209,0.11505,0.20269,0.2076,0.19256,
8.0,23.0,1.54729,0.44319,0.16082,0.11607,0.33371,0.19702,0.19238,
8.0,14.0,1.49011,0.58297,0.124,0.09688,0.38654,0.21359,0.17899,
8.0,27.0,1.51711,0.55875,0.15515,0.09573,0.35953,0.21304,0.17655,
8.0,13.0,1.5791,0.51577,0.17323,0.28873,0.2093,0.138,0.19073,
8.0,10.0,1.58009,0.49038,0.15944,0.28425,0.22088,0.14643,0.189,
7.0,10.0,1.54416,0.58546,0.34916,0.14486,0.19722,0.14922,0.15954,
8.0,15.0,1.58476,0.41207,0.14786,0.23861,0.2662,0.1792,0.16813,
6.0,5.0,1.44212,0.72199,0.07697,0.14641,0.43592,0.15414,0.18656,
6.0,16.0,1.51816,0.55579,0.13798,0.14964,0.38053,0.14315,0.18868,
6.0,18.0,1.53094,0.53141,0.13393,0.14384,0.36516,0.17053,0.18654,
8.0,10.0,1.54989,0.42965,0.18665,0.33655,0.124,0.1638,0.189,
9.0,10.0,1.56959,0.4187,0.17088,0.31929,0.1666,0.16351,0.17971,
9.0,17.0,1.57532,0.41885,0.18091,0.30537,0.15064,0.16866,0.19442,
10.0,10.0,1.5531,0.48269,0.17805,0.1791,0.27796,0.09976,0.26513,
9.0,11.0,1.54207,0.4916,0.25918,0.11262,0.29581,0.12433,0.20806,
8.0,14.0,1.42045,0.61107,0.40563,0.10729,0.23227,0.05092,0.20389,
8.0,6.0,1.50916,0.66111,0.33772,0.09781,0.2689,0.12618,0.16939,
8.0,14.0,1.50122,0.6486,0.33459,0.10082,0.09442,0.23532,0.23485,
10.0,12.0,1.48762,0.61566,0.33817,0.09505,0.08699,0.24496,0.23482,
9.0,8.0,1.51177,0.68614,0.37936,0.11188,0.14332,0.19334,0.1721,
10.0,18.0,1.59318,0.5883,0.21891,0.19654,0.24496,0.20126,0.13833,
9.0,13.0,1.52629,0.59033,0.18914,0.26391,0.07254,0.1815,0.29291,
7.0,3.0,1.55331,0.6762,0.19323,0.14634,0.17335,0.33771,0.14937,
8.0,19.0,1.53307,0.57234,0.2105,0.15071,0.18354,0.34638,0.10888,
8.0,20.0,1.51821,0.592,0.13461,0.15366,0.18125,0.38194,0.14853,
8.0,11.0,1.48072,0.89019,0.07253,0.32464,0.15481,0.31008,0.13793,
9.0,9.0,1.52246,0.86393,0.09249,0.30436,0.16572,0.28837,0.14906,
10.0,12.0,1.52171,0.75261,0.10724,0.28349,0.17094,0.12433,0.314,
9.0,9.0,1.57719,0.70955,0.14425,0.23314,0.14304,0.20658,0.27299,
9.0,18.0,1.5673,0.73107,0.13025,0.24291,0.14891,0.19108,0.28685,
9.0,18.0,1.57307,0.61179,0.12972,0.21482,0.15984,0.20685,0.28877,
8.0,20.0,1.49118,0.60093,0.15052,0.38949,0.17174,0.1998,0.08844,
9.0,4.0,1.4977,0.54799,0.1697,0.39532,0.10611,0.18226,0.1466,
9.0,25.0,1.50595,0.50224,0.17174,0.38557,0.10508,0.18451,0.15309,
9.0,20.0,1.57542,0.53262,0.1632,0.30546,0.17697,0.19801,0.15635,
8.0,28.0,1.59286,0.56292,0.15995,0.23833,0.187,0.24835,0.16637,
10.0,2.0,1.54136,0.6307,0.14504,0.34339,0.14036,0.22035,0.15086,
9.0,15.0,1.47862,0.63665,0.15366,0.39404,0.07968,0.21312,0.1595,
8.0,16.0,1.4734,0.7584,0.12796,0.32714,0.07455,0.31773,0.15262,
10.0,10.0,1.38975,0.74277,0.18565,0.47317,0.06355,0.13209,0.14553,
8.0,7.0,1.4491,0.86168,0.1834,0.311,0.06749,0.34139,0.09672,
8.0,27.0,1.46676,0.76014,0.18147,0.30628,0.07005,0.33265,0.10954,
9.0,5.0,1.5202,0.84424,0.15822,0.16497,0.10687,0.36592,0.20401,
10.0,11.0,1.53984,0.7337,0.1693,0.2989,0.10546,0.27474,0.15159,
10.0,16.0,1.57902,0.77746,0.16226,0.14154,0.23679,0.27679,0.18262,
9.0,8.0,1.54982,0.7553,0.16237,0.08948,0.24022,0.2595,0.24842,
9.0,11.0,1.55067,0.73264,0.16416,0.09138,0.2356,0.27523,0.23363,
