entropyInd,
0.1643,
0.1639,
0.1617,
0.1611,
0.1823,
0.1618,
0.1638,
0.1674,
0.1709,
0.1651,
0.1765,
0.176,
0.1729,
0.1779,
0.1738,
0.1733,
0.1743,
0.178,
0.1775,
0.1698,
0.1732,
0.169,
0.1693,
0.1705,
0.1689,
0.1779,
0.1692,
0.1927,
0.1719,
0.1684,
0.1687,
0.1936,
0.2081,
0.2049,
0.1975,
0.1969,
0.2056,
0.2102,
0.2082,
0.1915,
0.1951,
0.1973,
0.191,
0.1927,
0.1944,
0.2001,
0.2003,
0.2024,
0.207,
0.2229,
0.2205,
0.2259,
0.218,
0.2288,
0.2254,
0.2223,
0.2292,
0.2508,
0.2147,
0.2172,
0.2193,
0.2139,
0.2271,
0.2386,
0.2367,
0.2429,
0.2444,
0.2758,
0.2761,
0.2733,
0.3015,
0.3009,
0.2852,
0.2777,
0.2977,
0.2899,
0.2818,
0.279,
0.2984,
0.2942,
0.2925,
0.3033,
0.3379,
0.3294,
0.2863,
0.3181,
0.306,
0.2738,
0.282,
0.2849,
0.2734,
0.2702,
0.2784,
0.2819,
0.2904,
0.3264,
0.2531,
0.2619,
0.2612,
0.259,
0.2579,
0.2662,
0.2655,
0.2672,
0.2527,
0.2545,
0.2571,
0.2673,
0.2577,
0.2583,
0.265,
0.2826,
0.2794,
0.3301,
0.3072,
0.2893,
0.2879,
0.3162,
0.2997,
0.2933,
0.4221,
0.4242,
0.3956,
0.3677,
0.3649,
0.3601,
0.3677,
0.3159,
0.3167,
0.3145,
0.3395,
0.3307,
0.2941,
0.2952,
0.3254,
0.2884,
0.2994,
0.2949,
0.2989,
0.3043,
0.3014,
0.3047,
0.3101,
0.3124,
0.3126,
0.358,
0.3155,
0.3206,
0.3291,
0.4683,
0.455,
0.422,
0.3962,
0.3855,
0.5014,
0.3651,
0.3446,
0.3603,
0.3309,
0.3256,
0.3174,
0.3474,
0.3531,
0.3571,
0.3425,
0.3554,
0.3467,
0.3503,
0.3391,
0.3361,
0.3322,
0.3004,
0.3028,
0.3092,
0.3124,
0.3161,
0.3283,
0.3315,
0.328,
0.3249,
0.3163,
0.3158,
0.3236,
0.3146,
0.3332,
0.3329,
0.3359,
0.3463,
0.3578,
0.3455,
0.3704,
0.3563,
0.3282,
0.319,
0.32,
0.3173,
0.354,
0.3454,
0.3227,
0.3122,
0.3173,
0.3153,
0.317,
0.3206,
0.3404,
0.3262,
0.3042,
0.3112,
0.3186,
0.313,
0.312,
0.3039,
0.2987,
0.3306,
0.3345,
0.3492,
0.3612,
0.3416,
0.3293,
0.3303,
0.3249,
0.3211,
0.3174,
0.3017,
0.3126,
0.3183,
0.3159,
0.3224,
0.3156,
0.3234,
0.3037,
0.3103,
0.3246,
0.3302,
0.3168,
0.3106,
0.313,
0.3101,
0.3231,
0.3338,
0.3204,
0.3127,
0.3134,
0.3295,
0.3105,
0.3164,
0.3194,
0.3207,
0.3178,
0.318,
0.3181,
0.3305,
0.3255,
0.3188,
0.33,
0.3228,
0.3142,
0.3297,
0.3365,
0.3251,
0.3283,
0.3162,
0.3116,
0.3258,
0.319,
0.3033,
0.3203,
0.351,
0.3365,
0.3141,
0.3191,
0.3227,
0.302,
0.298,
0.3153,
0.3021,
0.3058,
0.2894,
0.3073,
0.3053,
0.3307,
0.2899,
0.2909,
0.3006,
0.2965,
0.3098,
0.3068,
0.3031,
0.2948,
0.2912,
0.3001,
0.3115,
0.3087,
0.2921,
0.2949,
0.3049,
0.3066,
0.3162,
0.3092,
0.3285,
0.3106,
0.3114,
0.3213,
0.2919,
0.2919,
0.2973,
0.3008,
0.2882,
0.3096,
0.2899,
0.3193,
0.3082,
0.3016,
0.2946,
0.2913,
0.2865,
0.2936,
0.2905,
0.2768,
0.2755,
0.2735,
0.2711,
0.2673,
0.2702,
0.2765,
0.2802,
0.2751,
0.2781,
0.2855,
0.2845,
0.2978,
0.3076,
0.3205,
0.3085,
0.3242,
0.3118,
0.3328,
0.3123,
0.3202,
0.3105,
0.3118,
0.3521,
0.3288,
0.2956,
0.2955,
0.302,
0.3064,
0.3018,
0.3045,
0.3007,
0.3039,
0.2975,
0.3103,
0.3049,
0.3138,
0.3188,
0.3079,
0.3059,
0.3073,
0.3174,
0.3063,
0.3042,
0.3082,
0.3156,
0.3159,
0.3135,
0.3166,
0.3155,
0.3239,
0.3354,
0.3248,
0.3206,
0.3617,
0.3376,
0.3338,
0.3411,
0.3341,
0.328,
0.3266,
0.3326,
0.341,
0.3382,
0.3327,
0.3333,
0.3385,
0.3274,
0.318,
0.3409,
0.3225,
0.3414,
0.3356,
0.3076,
0.3156,
0.307,
0.314,
0.3153,
0.3202,
0.3339,
0.3192,
0.3219,
