RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
2815000.0,1820000.0,1248000.0,756900.0,190100.0,1110000.0,123900.0,3083000.0,1155000.0,
2790000.0,1821000.0,1249000.0,773700.0,190100.0,1110000.0,123900.0,3083000.0,1155000.0,
2752000.0,1829000.0,1252000.0,780500.0,167900.0,1110000.0,130700.0,3088000.0,1142000.0,
2762000.0,1835000.0,1254000.0,794800.0,167900.0,1110000.0,130700.0,3100000.0,1131000.0,
2735000.0,1838000.0,1256000.0,797200.0,167900.0,1110000.0,141400.0,3128000.0,1236000.0,
2693000.0,1852000.0,1258000.0,800000.0,167800.0,1110000.0,141400.0,3128000.0,1235000.0,
2670000.0,1851000.0,1260000.0,791000.0,167800.0,1110000.0,154300.0,3115000.0,1235000.0,
2631000.0,1849000.0,1261000.0,815900.0,174600.0,1115000.0,173700.0,3122000.0,1196000.0,
2604000.0,1852000.0,1264000.0,827300.0,162100.0,1115000.0,244900.0,3062000.0,1185000.0,
2599000.0,1844000.0,1251000.0,824300.0,1052000.0,217100.0,251600.0,3098000.0,1141000.0,
2574000.0,1846000.0,1250000.0,797000.0,982600.0,196300.0,257700.0,3159000.0,1052000.0,
2532000.0,1851000.0,1253000.0,830200.0,997500.0,181400.0,292200.0,3329000.0,847000.0,
2569000.0,1856000.0,1254000.0,830200.0,1004000.0,174600.0,374100.0,3247000.0,847000.0,
2628000.0,1865000.0,1255000.0,830200.0,1004000.0,184800.0,1401000.0,2230000.0,827800.0,
2591000.0,1869000.0,1234000.0,847100.0,980400.0,184100.0,1414000.0,2216000.0,821000.0,
2546000.0,1876000.0,1237000.0,876300.0,980400.0,190800.0,1427000.0,2218000.0,800100.0,
2540000.0,1883000.0,1225000.0,895200.0,955800.0,184100.0,1446000.0,2244000.0,754300.0,
2575000.0,1892000.0,1228000.0,933700.0,948300.0,184100.0,1474000.0,2262000.0,708200.0,
2552000.0,1899000.0,1228000.0,920200.0,948300.0,190200.0,1489000.0,2267000.0,701400.0,
2523000.0,1892000.0,1228000.0,936100.0,955100.0,190200.0,1482000.0,2292000.0,676800.0,
2517000.0,1890000.0,1230000.0,936100.0,955100.0,190200.0,1482000.0,2292000.0,758100.0,
2513000.0,1894000.0,1231000.0,936100.0,947500.0,190200.0,1489000.0,2299000.0,743600.0,
2507000.0,1897000.0,1233000.0,936100.0,947500.0,190200.0,1489000.0,2313000.0,730100.0,
2543000.0,1915000.0,1235000.0,949700.0,947500.0,197000.0,1482000.0,2327000.0,715900.0,
2517000.0,1918000.0,1236000.0,942400.0,939900.0,196900.0,1482000.0,2327000.0,714500.0,
2512000.0,1922000.0,1238000.0,942400.0,939900.0,196900.0,1502000.0,2307000.0,714500.0,
2497000.0,1928000.0,1240000.0,942400.0,939900.0,196900.0,1516000.0,2293000.0,714500.0,
2480000.0,1934000.0,1242000.0,942400.0,939900.0,196900.0,2285000.0,1530000.0,723500.0,
2466000.0,1936000.0,1243000.0,939500.0,919800.0,207100.0,2637000.0,1183000.0,824700.0,
2433000.0,1947000.0,1245000.0,929400.0,919800.0,207100.0,2649000.0,1187000.0,808900.0,
2372000.0,1949000.0,1247000.0,974400.0,912200.0,207100.0,2663000.0,1180000.0,799700.0,
2364000.0,1952000.0,1249000.0,971900.0,904600.0,207100.0,2696000.0,1164000.0,782700.0,
2346000.0,1956000.0,1251000.0,947800.0,904600.0,207100.0,3168000.0,698100.0,775900.0,
2330000.0,1942000.0,1253000.0,947800.0,904600.0,207100.0,3168000.0,716200.0,757800.0,
2197000.0,1954000.0,1254000.0,1052000.0,904600.0,207100.0,3175000.0,742200.0,725000.0,
2168000.0,1952000.0,1256000.0,1072000.0,904600.0,218300.0,3164000.0,742200.0,723900.0,
2155000.0,1951000.0,1258000.0,1079000.0,904600.0,218300.0,3182000.0,751900.0,696200.0,
2193000.0,1952000.0,1260000.0,1020000.0,976200.0,138400.0,3192000.0,757300.0,680400.0,
2181000.0,1956000.0,1261000.0,1014000.0,963600.0,137700.0,3192000.0,757300.0,679300.0,
2174000.0,1962000.0,1263000.0,1014000.0,946000.0,137700.0,3192000.0,782200.0,654400.0,
2144000.0,1966000.0,1268000.0,1029000.0,946000.0,144400.0,3185000.0,790500.0,646100.0,
2139000.0,1969000.0,1269000.0,1029000.0,939300.0,161700.0,3183000.0,760000.0,646100.0,
2165000.0,1971000.0,1272000.0,1022000.0,937200.0,175800.0,3163000.0,771900.0,633000.0,
2155000.0,1978000.0,1275000.0,1020000.0,937100.0,175800.0,3170000.0,777000.0,620000.0,
2156000.0,1976000.0,1275000.0,934800.0,957500.0,188700.0,3143000.0,812300.0,597600.0,
2107000.0,1980000.0,1277000.0,977000.0,919800.0,218800.0,3113000.0,842200.0,567600.0,
2094000.0,1981000.0,1278000.0,968400.0,925200.0,233100.0,3092000.0,836100.0,567600.0,
2086000.0,1962000.0,1279000.0,940400.0,924700.0,246300.0,3077000.0,842900.0,626300.0,
2109000.0,1965000.0,1280000.0,971600.0,911000.0,257900.0,3078000.0,849700.0,606000.0,
2073000.0,1965000.0,1281000.0,1003000.0,923900.0,251800.0,3078000.0,892600.0,554700.0,
2050000.0,1960000.0,1283000.0,1018000.0,923900.0,264100.0,3066000.0,915200.0,532100.0,
2036000.0,1953000.0,1286000.0,1017000.0,916300.0,270900.0,3076000.0,917700.0,512900.0,
2009000.0,1957000.0,1290000.0,1010000.0,897600.0,280700.0,3066000.0,917700.0,512900.0,
1947000.0,1957000.0,1292000.0,1057000.0,897600.0,294200.0,3052000.0,935800.0,493200.0,
1911000.0,1959000.0,1293000.0,1075000.0,897600.0,318000.0,3041000.0,937500.0,478500.0,
1907000.0,1961000.0,1296000.0,1075000.0,885100.0,318000.0,3041000.0,944700.0,471300.0,
1894000.0,1971000.0,1298000.0,1075000.0,886300.0,339400.0,3012000.0,961300.0,453900.0,
1870000.0,1971000.0,1301000.0,1093000.0,873700.0,895300.0,2463000.0,976600.0,430300.0,
1917000.0,1973000.0,1303000.0,1093000.0,873700.0,922500.0,2435000.0,991300.0,610900.0,
1895000.0,1976000.0,1301000.0,1104000.0,879800.0,922900.0,2429000.0,1003000.0,599000.0,
1879000.0,1984000.0,1303000.0,1104000.0,879800.0,929600.0,2454000.0,983200.0,586500.0,
1890000.0,1988000.0,1306000.0,1111000.0,874000.0,989600.0,2388000.0,983200.0,586500.0,
1881000.0,1989000.0,1308000.0,1109000.0,874000.0,1545000.0,1832000.0,1053000.0,514900.0,
1867000.0,1999000.0,1312000.0,1109000.0,874000.0,2392000.0,992000.0,1081000.0,480200.0,
1881000.0,1988000.0,1295000.0,1079000.0,859100.0,2396000.0,989200.0,1085000.0,465000.0,
1869000.0,1983000.0,1296000.0,1092000.0,848200.0,2427000.0,958600.0,1085000.0,465000.0,
1851000.0,1985000.0,1299000.0,1106000.0,1389000.0,1897000.0,953800.0,1092000.0,452500.0,
1843000.0,1983000.0,1303000.0,1106000.0,1397000.0,1889000.0,953800.0,1098000.0,445700.0,
1868000.0,1984000.0,1307000.0,1106000.0,1424000.0,1884000.0,931500.0,1105000.0,438900.0,
1903000.0,1994000.0,1309000.0,1110000.0,1380000.0,1878000.0,938300.0,1098000.0,438900.0,
1888000.0,1993000.0,1312000.0,1114000.0,1380000.0,1885000.0,950200.0,1080000.0,437400.0,
1879000.0,1990000.0,1314000.0,1109000.0,1363000.0,1877000.0,950800.0,1080000.0,430600.0,
1876000.0,1994000.0,1315000.0,1126000.0,1345000.0,1893000.0,935500.0,1080000.0,430600.0,
1850000.0,1996000.0,1317000.0,1148000.0,1345000.0,1893000.0,945900.0,1070000.0,430600.0,
1880000.0,1996000.0,1320000.0,1143000.0,1332000.0,1893000.0,958200.0,1058000.0,430600.0,
1889000.0,1982000.0,1313000.0,1122000.0,1310000.0,1892000.0,957800.0,1058000.0,414300.0,
1886000.0,1984000.0,1315000.0,1122000.0,1297000.0,1892000.0,957800.0,1058000.0,414300.0,
1915000.0,1982000.0,1317000.0,1122000.0,1259000.0,1892000.0,968000.0,1060000.0,401800.0,
1936000.0,1982000.0,1319000.0,1132000.0,1259000.0,1899000.0,971600.0,1050000.0,429000.0,
1922000.0,1989000.0,1320000.0,1132000.0,1259000.0,1899000.0,982300.0,1039000.0,429000.0,
1901000.0,1990000.0,1320000.0,1138000.0,1247000.0,1899000.0,982300.0,1039000.0,427600.0,
1949000.0,1991000.0,1321000.0,1129000.0,1258000.0,1896000.0,969100.0,1039000.0,475800.0,
1938000.0,1981000.0,1324000.0,1127000.0,1255000.0,1891000.0,975200.0,1033000.0,475800.0,
1916000.0,1991000.0,1325000.0,1138000.0,1255000.0,1891000.0,1010000.0,998000.0,475800.0,
1911000.0,1985000.0,1320000.0,1127000.0,1247000.0,1891000.0,1021000.0,986800.0,467300.0,
1898000.0,1990000.0,1323000.0,1129000.0,1248000.0,1889000.0,1014000.0,986800.0,467300.0,
1841000.0,1989000.0,1325000.0,1175000.0,1216000.0,1895000.0,1007000.0,986800.0,467300.0,
