entropyInd,
0.1643,
0.1627,
0.1644,
0.1761,
0.171,
0.1702,
0.1699,
0.1723,
0.1738,
0.1722,
0.1723,
0.1702,
0.1733,
0.1701,
0.1718,
0.1819,
0.1808,
0.1833,
0.2057,
0.1845,
0.1946,
0.1911,
0.188,
0.1876,
0.1891,
0.1923,
0.1954,
0.192,
0.1957,
0.1924,
0.1966,
0.2144,
0.214,
0.2291,
0.2423,
0.303,
0.2907,
0.287,
0.2788,
0.2984,
0.262,
0.256,
0.2448,
0.2518,
0.2443,
0.2446,
0.2441,
0.2422,
0.2412,
0.2432,
0.2502,
0.26,
0.2597,
0.255,
0.2491,
0.2531,
0.2628,
0.2501,
0.2531,
0.2638,
0.27,
0.2736,
0.2948,
0.2866,
0.2833,
0.2796,
0.2938,
0.2765,
0.2961,
0.293,
0.3005,
0.2991,
