entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.185,0.3347,0.1116,0.08813,0.06827,0.114,0.04213,0.03859,0.03244,0.05409,0.03354,0.2095,0.2078,
2.184,0.3497,0.1115,0.08802,0.06857,0.1136,0.04148,0.0386,0.03244,0.05562,0.03205,0.2096,0.2085,
2.18,0.3379,0.1114,0.08811,0.06871,0.1133,0.03978,0.03834,0.03245,0.05688,0.03082,0.2097,0.2106,
2.164,0.3656,0.11,0.08747,0.06901,0.1143,0.03865,0.05724,0.01404,0.05632,0.0308,0.2106,0.2116,
2.189,0.3492,0.1121,0.08735,0.06897,0.1143,0.03862,0.05721,0.01403,0.05628,0.0451,0.1972,0.2089,
2.188,0.3555,0.1117,0.08778,0.06897,0.1143,0.03862,0.05774,0.0135,0.05628,0.0451,0.1972,0.2089,
2.187,0.3508,0.1117,0.08758,0.06921,0.1143,0.03796,0.05774,0.0135,0.05628,0.0451,0.1972,0.2095,
2.187,0.3833,0.1114,0.08755,0.06946,0.1143,0.03796,0.05774,0.0135,0.05717,0.04421,0.1972,0.2095,
2.187,0.3611,0.1114,0.08754,0.06968,0.1135,0.03799,0.05779,0.01351,0.05722,0.04425,0.1974,0.2097,
2.186,0.327,0.111,0.08755,0.06978,0.1124,0.03854,0.05729,0.01351,0.05852,0.04302,0.1985,0.2099,
2.178,0.3231,0.111,0.0875,0.0699,0.1113,0.06066,0.03156,0.01396,0.05819,0.0431,0.1989,0.214,
2.179,0.3314,0.1106,0.08778,0.06995,0.1113,0.06066,0.03156,0.01449,0.05863,0.04213,0.1989,0.214,
2.178,0.3348,0.1126,0.08804,0.0702,0.1101,0.05871,0.03158,0.01449,0.05867,0.04216,0.2,0.2134,
2.178,0.3389,0.1118,0.0879,0.07076,0.1088,0.05886,0.03166,0.01453,0.05882,0.04227,0.2005,0.214,
2.173,0.345,0.113,0.08776,0.0708,0.1087,0.05733,0.03109,0.01451,0.06381,0.03718,0.2013,0.2144,
2.173,0.3512,0.1158,0.08759,0.07093,0.1086,0.05661,0.03106,0.0145,0.06375,0.03715,0.2021,0.2119,
2.173,0.3416,0.115,0.08763,0.07109,0.1083,0.05668,0.0319,0.01371,0.06383,0.03719,0.2024,0.2122,
2.172,0.3559,0.1144,0.08772,0.07104,0.108,0.05675,0.03194,0.01373,0.06392,0.03724,0.2027,0.2125,
2.171,0.3525,0.1138,0.08795,0.0709,0.1078,0.05664,0.03187,0.0137,0.06379,0.03717,0.2043,0.2121,
2.17,0.3417,0.1116,0.08797,0.07086,0.109,0.05655,0.03182,0.01368,0.06368,0.03711,0.206,0.2117,
2.171,0.3452,0.1112,0.08786,0.07088,0.1086,0.05707,0.03129,0.01456,0.06279,0.0371,0.207,0.2117,
2.169,0.3473,0.1112,0.08791,0.07102,0.1078,0.05645,0.03131,0.01457,0.06337,0.0366,0.2072,0.2126,
2.17,0.4844,0.1109,0.08813,0.0711,0.1078,0.05645,0.03131,0.01457,0.06337,0.0366,0.2072,0.2126,
2.169,0.3712,0.1135,0.08782,0.07114,0.1076,0.05636,0.0316,0.01421,0.06567,0.03414,0.2089,0.209,
2.167,0.3645,0.1131,0.08756,0.07119,0.1074,0.05624,0.03153,0.0146,0.06648,0.0327,0.2106,0.2086,
