entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.17,0.3252,0.1097,0.08887,0.0653,0.1182,0.03601,0.05876,0.03831,0.02284,0.03917,0.2093,0.2135,
2.17,0.3297,0.1096,0.08894,0.06538,0.1182,0.03601,0.05876,0.03831,0.02391,0.0381,0.2093,0.2135,
2.168,0.3283,0.1096,0.08885,0.06557,0.1178,0.03491,0.05879,0.03833,0.02392,0.03812,0.2094,0.2147,
2.168,0.3258,0.1094,0.08897,0.06576,0.1174,0.03492,0.05881,0.03834,0.02393,0.03813,0.2095,0.2148,
2.17,0.3353,0.1096,0.0892,0.06577,0.1183,0.03488,0.05875,0.0383,0.0286,0.03339,0.2103,0.2129,
2.171,0.3323,0.112,0.08889,0.06592,0.1182,0.03484,0.05869,0.03826,0.02857,0.03336,0.2112,0.2102,
2.172,0.3329,0.1118,0.08886,0.06614,0.1182,0.03538,0.05815,0.03826,0.02857,0.03336,0.2112,0.2102,
2.172,0.3314,0.1118,0.08889,0.06633,0.1175,0.0354,0.0582,0.03829,0.02859,0.03338,0.2113,0.2104,
2.172,0.3373,0.1102,0.08895,0.06658,0.1182,0.03543,0.05825,0.03832,0.02861,0.03341,0.2115,0.2105,
2.153,0.3699,0.1102,0.0884,0.06683,0.1179,0.07756,0.01674,0.03781,0.02863,0.03343,0.2117,0.2107,
2.153,0.3549,0.1098,0.08851,0.06701,0.1174,0.07751,0.03733,0.01719,0.02986,0.03216,0.2126,0.2106,
2.166,0.3256,0.1091,0.08826,0.06703,0.1172,0.07738,0.03781,0.01663,0.02982,0.0403,0.2062,0.2103,
2.164,0.3383,0.1078,0.08813,0.0672,0.1178,0.07638,0.03751,0.01661,0.03086,0.03919,0.2071,0.2114,
2.163,0.3263,0.1073,0.08815,0.06735,0.1179,0.07508,0.03752,0.01662,0.03088,0.03921,0.2072,0.2128,
2.163,0.3331,0.1097,0.08797,0.06733,0.1173,0.07541,0.03701,0.01659,0.03082,0.03915,0.2089,0.2098,
2.158,0.3355,0.1094,0.088,0.06759,0.1173,0.07474,0.04172,0.01188,0.03174,0.03823,0.2089,0.2105,
2.156,0.336,0.1092,0.08814,0.06577,0.1161,0.07475,0.04172,0.01282,0.0308,0.03823,0.21,0.2124,
2.155,0.3371,0.1097,0.08831,0.06575,0.1162,0.07318,0.04172,0.01281,0.03079,0.03822,0.2111,0.2123,
