entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.246,0.4205,0.1229,0.06254,0.06043,0.0904,0.05423,0.03448,0.0307,0.04167,0.04567,0.03506,0.2091,0.2128,
2.246,0.4276,0.1227,0.06254,0.06042,0.09031,0.05418,0.03488,0.03024,0.04163,0.04562,0.03503,0.2099,0.2126,
2.244,0.4351,0.1226,0.06245,0.06045,0.08885,0.05469,0.03436,0.03024,0.04336,0.04395,0.03502,0.2112,0.2128,
2.242,0.4316,0.1211,0.06241,0.06041,0.08784,0.05516,0.03378,0.0302,0.0433,0.04389,0.035,0.2131,0.2138,
2.242,0.4176,0.1212,0.06234,0.06059,0.08719,0.0552,0.0338,0.03021,0.04333,0.04393,0.03503,0.2133,0.214,
2.242,0.416,0.1202,0.06244,0.06078,0.08712,0.05525,0.03382,0.03022,0.04336,0.04398,0.03505,0.2136,0.2142,
2.24,0.4211,0.1187,0.06243,0.06032,0.08674,0.05527,0.03384,0.03078,0.04284,0.044,0.03506,0.2137,0.2164,
2.24,0.4254,0.1179,0.0624,0.0605,0.08633,0.0553,0.03385,0.03079,0.04286,0.04402,0.03509,0.2138,0.2172,
2.24,0.4476,0.1173,0.06307,0.06056,0.08567,0.05587,0.03333,0.0308,0.04288,0.04405,0.03513,0.214,0.2174,
2.265,0.4134,0.1184,0.06308,0.0607,0.08928,0.05589,0.03334,0.03124,0.04398,0.05755,0.03514,0.2002,0.2112,
2.266,0.4273,0.1168,0.06306,0.06096,0.08936,0.05594,0.03337,0.03127,0.05162,0.05001,0.03517,0.2004,0.2121,
2.265,0.4356,0.1167,0.06302,0.06096,0.08892,0.05644,0.03323,0.03081,0.05352,0.04803,0.03517,0.2012,0.212,
2.265,0.4358,0.1165,0.06315,0.06099,0.08862,0.05646,0.03324,0.03081,0.05354,0.04804,0.0352,0.2013,0.2121,
2.263,0.4388,0.1151,0.06331,0.06101,0.08897,0.05548,0.033,0.03067,0.05354,0.04804,0.03522,0.2023,0.2134,
2.262,0.4369,0.1133,0.06352,0.06113,0.08897,0.05548,0.03343,0.03023,0.05354,0.04804,0.03523,0.2023,0.2148,
2.262,0.4363,0.1132,0.06334,0.06142,0.08897,0.05548,0.03343,0.03023,0.05444,0.04714,0.03526,0.2023,0.2148,
2.259,0.4366,0.1132,0.06251,0.06015,0.08862,0.05549,0.03398,0.0297,0.05535,0.04625,0.03528,0.2024,0.2171,
2.259,0.4366,0.113,0.0626,0.06029,0.08825,0.05552,0.034,0.02971,0.05538,0.04627,0.0353,0.2025,0.2172,
2.245,0.4757,0.1159,0.06254,0.0602,0.0882,0.0716,0.01778,0.02969,0.05589,0.04565,0.03521,0.2034,0.2139,
2.243,0.4067,0.1153,0.06265,0.06019,0.08819,0.07068,0.01777,0.02969,0.05705,0.04446,0.03502,0.2044,0.2146,
2.241,0.4156,0.1152,0.06263,0.06035,0.08692,0.0707,0.01777,0.02969,0.06156,0.03996,0.03505,0.2055,0.2147,
2.24,0.4162,0.1151,0.06251,0.06038,0.08683,0.07063,0.01775,0.03067,0.06148,0.03893,0.03502,0.2063,0.2144,
2.239,0.4241,0.115,0.06238,0.06058,0.08683,0.07052,0.01719,0.03067,0.06148,0.03893,0.03504,0.2063,0.2151,
2.238,0.4196,0.1168,0.0621,0.06058,0.08665,0.0697,0.01796,0.0298,0.06214,0.03806,0.03498,0.2079,0.2133,
2.236,0.4318,0.1167,0.06219,0.06064,0.08629,0.07007,0.01761,0.03024,0.06493,0.03487,0.03503,0.208,0.2134,
2.236,0.4322,0.1165,0.06216,0.06089,0.08629,0.07007,0.01761,0.03024,0.06493,0.03487,0.03505,0.208,0.2134,
2.234,0.4247,0.1163,0.06216,0.06085,0.0862,0.07097,0.01662,0.03064,0.0656,0.03367,0.03504,0.2089,0.2132,
2.234,0.4252,0.1161,0.06216,0.06098,0.0862,0.07097,0.01662,0.03064,0.0656,0.03367,0.03505,0.2089,0.2132,
2.234,0.4257,0.1154,0.06225,0.06103,0.0865,0.071,0.01706,0.0302,0.06562,0.03368,0.03507,0.2089,0.2132,
