GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.1021,0.09522,0.2577,0.05951,0.04664,0.02644,0.002642,0.001886,0.001963,0.001101,0.3058,0.0,0.01122,0.01046,0.0283,0.006537,0.005124,0.002905,2.903E-4,2.071E-4,2.157E-4,1.209E-4,0.03359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,62.52,30.55,19.18,247.9,9.543,35.44,38.03,25.55,6.228,17.11,1.0E-4,0.0,63370.0,1054.0,520.1,442.4,2241.0,992.3,235.7,1066.0,428.2,318.7,306.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.1004,0.2577,0.05951,0.04664,0.02644,0.002642,0.001886,0.001963,0.001101,0.3058,0.0,0.01064,0.01103,0.0283,0.006537,0.005124,0.002905,2.903E-4,2.071E-4,2.157E-4,1.209E-4,0.03359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,62.52,30.55,19.18,247.9,9.543,35.44,38.03,25.55,6.228,17.11,1.0E-4,0.0,63350.0,1098.0,520.0,442.4,2238.0,992.2,235.7,1066.0,428.2,318.7,306.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.1004,0.2576,0.05895,0.04664,0.02705,0.00263,0.001853,0.001962,0.001099,0.3058,0.0,0.01064,0.01103,0.0283,0.006475,0.005124,0.002972,2.89E-4,2.036E-4,2.155E-4,1.207E-4,0.03359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,62.47,30.53,19.18,247.0,9.531,35.43,37.98,25.54,6.217,17.11,1.0E-4,0.0,63350.0,1098.0,519.8,441.4,2236.0,993.4,235.6,1066.0,428.1,394.5,306.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.1013,0.2473,0.0601,0.03464,0.02814,0.002717,0.001834,0.002112,0.001273,0.3247,0.0,0.01064,0.01113,0.02716,0.006602,0.003805,0.003091,2.985E-4,2.015E-4,2.32E-4,1.398E-4,0.03567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,73.66,28.52,20.68,244.5,10.61,36.26,35.17,27.25,5.858,11.53,1.0E-4,0.0,63350.0,1151.0,519.9,447.7,2230.0,998.1,269.2,941.1,500.8,385.4,272.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.09171,0.2613,0.06029,0.03225,0.0444,0.006223,0.002109,0.005632,0.004042,0.2961,0.0,0.01064,0.01007,0.02871,0.006622,0.003543,0.004878,6.836E-4,2.316E-4,6.186E-4,4.44E-4,0.03253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,79.35,24.37,18.69,245.4,9.196,36.35,35.17,27.19,6.112,12.15,1.0E-4,0.0,63350.0,1198.0,479.0,426.8,2243.0,946.8,274.6,942.3,491.4,397.8,313.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.0915,0.2607,0.05739,0.03162,0.04453,0.003187,0.002215,0.003478,0.005155,0.3043,0.0,0.01064,0.01005,0.02864,0.006304,0.003473,0.004892,3.501E-4,2.433E-4,3.821E-4,5.663E-4,0.03343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,79.73,24.35,20.21,246.2,9.005,36.11,34.87,26.94,6.158,12.39,1.0E-4,0.0,63350.0,1197.0,475.4,439.3,2241.0,941.3,257.4,941.1,480.2,404.6,332.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.09152,0.2607,0.05739,0.03155,0.04454,0.00319,0.002235,0.003484,0.005159,0.3043,0.0,0.01064,0.01005,0.02864,0.006304,0.003466,0.004893,3.504E-4,2.456E-4,3.827E-4,5.667E-4,0.03343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,81.11,24.55,20.22,244.9,9.136,36.15,35.21,27.06,6.232,12.45,1.0E-4,0.0,63360.0,1199.0,476.1,439.2,2234.0,941.6,257.6,942.0,481.1,405.0,332.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.09162,0.2608,0.0575,0.0317,0.04555,0.002502,0.001819,0.003061,0.005175,0.3044,0.0,0.01064,0.01006,0.02865,0.006316,0.003482,0.005004,2.749E-4,1.998E-4,3.363E-4,5.684E-4,0.03343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,85.1,27.43,24.5,250.7,51.57,7.987,18.15,9.765,6.848,14.98,1.0E-4,0.0,63360.0,1200.0,476.7,440.3,2233.0,971.3,243.4,931.4,470.5,405.1,333.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.1101,0.2528,0.0556,0.0359,0.04363,0.001952,0.001912,0.003178,0.005563,0.2935,0.0,0.01064,0.01209,0.02777,0.006107,0.003944,0.004793,2.144E-4,2.1E-4,3.491E-4,6.111E-4,0.03224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,82.32,28.93,23.56,249.9,52.14,8.158,18.12,9.74,6.734,18.4,1.0E-4,0.0,63360.0,1182.0,489.7,430.0,2218.0,974.9,244.5,931.1,470.2,404.0,355.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09689,0.1057,0.2557,0.05563,0.03646,0.04378,0.001981,0.001924,0.003193,0.005615,0.2941,0.0,0.01064,0.01161,0.02808,0.006111,0.004005,0.00481,2.176E-4,2.114E-4,3.508E-4,6.168E-4,0.03231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,79.96,28.18,23.63,250.5,52.51,8.226,18.14,9.759,6.828,19.3,1.0E-4,0.0,63360.0,1162.0,481.9,430.7,2228.0,976.6,244.7,930.8,469.8,404.3,364.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
