entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.246,0.3612,0.1203,0.0592,0.0557,0.08629,0.0671,0.03804,0.01747,0.04673,0.04029,0.04888,0.209,0.211,
2.246,0.3597,0.1188,0.05932,0.05579,0.08696,0.06716,0.03808,0.01749,0.04899,0.03811,0.04893,0.2092,0.2112,
2.245,0.3589,0.1189,0.05934,0.05581,0.08659,0.06497,0.03809,0.01916,0.04733,0.03812,0.04894,0.2093,0.2135,
2.244,0.362,0.1188,0.05913,0.05604,0.08659,0.06497,0.03809,0.01916,0.05027,0.03519,0.04895,0.2093,0.2135,
2.244,0.3736,0.1171,0.0591,0.05617,0.08767,0.06503,0.03813,0.01918,0.05218,0.03335,0.04899,0.2095,0.2137,
2.243,0.3875,0.1167,0.05911,0.05622,0.08771,0.06558,0.03762,0.01919,0.05327,0.0323,0.04903,0.2095,0.2138,
2.243,0.3822,0.1152,0.05886,0.05651,0.08885,0.06561,0.03763,0.0192,0.05427,0.03133,0.04906,0.2096,0.2139,
2.243,0.3682,0.1148,0.05901,0.05671,0.08885,0.06561,0.03763,0.0192,0.05427,0.03133,0.04907,0.2096,0.2139,
2.252,0.3796,0.1146,0.05924,0.05671,0.08849,0.06563,0.03764,0.03593,0.03757,0.03135,0.04911,0.2097,0.214,
2.253,0.3785,0.1138,0.06001,0.05673,0.08849,0.06563,0.03764,0.03593,0.03757,0.03135,0.04911,0.2097,0.214,
2.251,0.3817,0.1143,0.06067,0.05664,0.08806,0.06517,0.03752,0.03578,0.03987,0.02862,0.04909,0.2107,0.2136,
2.251,0.3777,0.1129,0.06079,0.0567,0.08926,0.06517,0.03752,0.03632,0.04023,0.02773,0.04911,0.2107,0.2136,
2.246,0.3898,0.1125,0.06109,0.05685,0.08888,0.0652,0.03754,0.03633,0.0478,0.02018,0.04914,0.2108,0.2137,
2.248,0.3921,0.1132,0.06127,0.05688,0.08946,0.06515,0.0375,0.03702,0.04706,0.02016,0.04912,0.2118,0.2114,
2.273,0.343,0.1119,0.06109,0.0568,0.09027,0.06502,0.03796,0.03641,0.0475,0.03234,0.04904,0.2006,0.211,
2.271,0.3445,0.1116,0.06123,0.05679,0.09018,0.06429,0.03826,0.03603,0.04745,0.03231,0.04901,0.2014,0.2114,
2.271,0.3455,0.1108,0.06127,0.0568,0.09086,0.06429,0.03826,0.03603,0.04745,0.03231,0.04903,0.2014,0.2114,
2.27,0.3469,0.1095,0.06125,0.05672,0.09137,0.06418,0.03819,0.03597,0.04737,0.03226,0.04896,0.2031,0.2111,
2.269,0.3537,0.1079,0.06183,0.05568,0.09227,0.06418,0.0389,0.03605,0.0466,0.03226,0.04896,0.2031,0.2122,
2.269,0.3521,0.1075,0.06213,0.0558,0.09227,0.06418,0.0389,0.03605,0.04784,0.03101,0.04897,0.2031,0.2122,
2.269,0.3547,0.1073,0.0619,0.05589,0.09231,0.06464,0.03849,0.03606,0.04787,0.03102,0.049,0.2032,0.2123,
2.27,0.3561,0.1099,0.06181,0.05597,0.09159,0.06466,0.0385,0.03607,0.04892,0.02996,0.04901,0.2043,0.2093,
2.27,0.3505,0.1096,0.06206,0.05601,0.09159,0.06466,0.0385,0.03607,0.04892,0.02996,0.04902,0.2043,0.2093,
2.27,0.3593,0.1077,0.06269,0.056,0.09289,0.06466,0.0385,0.0366,0.04981,0.02853,0.04903,0.2043,0.2093,
2.269,0.3544,0.1046,0.06267,0.05589,0.09516,0.06455,0.03842,0.03654,0.04973,0.02848,0.04896,0.206,0.209,
2.268,0.3558,0.1046,0.06247,0.05616,0.0948,0.06508,0.03794,0.03656,0.04975,0.02849,0.04899,0.2061,0.2091,
2.268,0.3595,0.1043,0.06249,0.05632,0.09394,0.06506,0.03792,0.03733,0.04985,0.02759,0.04899,0.2071,0.209,
2.266,0.373,0.1023,0.06265,0.05636,0.09543,0.06499,0.04576,0.03119,0.04882,0.02677,0.04895,0.2079,0.2088,
2.265,0.379,0.102,0.06254,0.05638,0.09547,0.06626,0.04454,0.0312,0.04884,0.02678,0.04898,0.208,0.2089,
2.264,0.385,0.09897,0.06211,0.05537,0.09829,0.06632,0.04458,0.03123,0.04889,0.0268,0.04902,0.2082,0.2102,
2.263,0.386,0.09938,0.06199,0.0554,0.09819,0.06625,0.04453,0.0312,0.04884,0.02678,0.04899,0.209,0.2094,
2.263,0.3848,0.09936,0.06185,0.05552,0.09732,0.06624,0.04452,0.03277,0.04725,0.02677,0.04897,0.21,0.2094,
2.263,0.3904,0.09924,0.06193,0.05562,0.09695,0.06627,0.04454,0.03356,0.04649,0.02678,0.04901,0.2101,0.2095,
2.264,0.3865,0.09912,0.06191,0.05575,0.09695,0.06661,0.04467,0.03387,0.04571,0.02678,0.04902,0.2101,0.2095,
2.264,0.39,0.09917,0.06147,0.05623,0.09655,0.06664,0.04469,0.03388,0.04573,0.02679,0.04905,0.2102,0.2096,
2.263,0.3933,0.09878,0.06146,0.05634,0.09623,0.06669,0.04472,0.03391,0.04577,0.02681,0.04911,0.2104,0.2098,
2.263,0.3942,0.09875,0.06144,0.05646,0.09586,0.06672,0.04474,0.03392,0.04579,0.02681,0.04914,0.2105,0.2099,
2.263,0.4073,0.09867,0.06144,0.05653,0.09586,0.067,0.0448,0.03358,0.04579,0.02681,0.04915,0.2105,0.2099,
2.262,0.4011,0.09852,0.06143,0.05644,0.09576,0.06692,0.04476,0.03397,0.04709,0.02501,0.04912,0.2113,0.2096,
2.262,0.4045,0.09763,0.06218,0.05659,0.09544,0.06749,0.04425,0.03399,0.04764,0.02449,0.04915,0.2114,0.2097,
2.243,0.4081,0.09735,0.0621,0.05668,0.09547,0.08935,0.02243,0.03478,0.04687,0.02447,0.04916,0.2115,0.2098,
2.241,0.4066,0.09674,0.06208,0.05675,0.09516,0.09052,0.02139,0.03483,0.04693,0.02449,0.04921,0.2118,0.2101,
2.24,0.4065,0.09668,0.06209,0.05679,0.09516,0.09105,0.02085,0.03483,0.04693,0.02449,0.04921,0.2118,0.2101,
2.237,0.4093,0.09672,0.06212,0.05682,0.0948,0.08776,0.02086,0.03527,0.04652,0.0245,0.04923,0.2119,0.2135,
2.237,0.4159,0.09511,0.06207,0.05688,0.09578,0.08811,0.02061,0.0353,0.04656,0.02452,0.04926,0.2121,0.2137,
2.237,0.4152,0.09498,0.06194,0.05685,0.09545,0.08819,0.02062,0.03533,0.0466,0.02454,0.04931,0.2123,0.2139,
2.247,0.4063,0.0956,0.06199,0.05678,0.09592,0.0881,0.0206,0.03529,0.04655,0.02957,0.04927,0.2081,0.2123,
2.248,0.4096,0.09695,0.06193,0.0568,0.09546,0.08805,0.02123,0.03463,0.04741,0.02866,0.04926,0.209,0.2107,
2.246,0.4146,0.09661,0.06205,0.05684,0.09507,0.08812,0.02244,0.03347,0.05046,0.02565,0.0493,0.2092,0.2108,
2.247,0.4162,0.09643,0.06223,0.05683,0.09507,0.08812,0.02244,0.03347,0.05046,0.02565,0.04931,0.2092,0.2108,
2.246,0.4105,0.09629,0.06234,0.05684,0.09507,0.08812,0.02244,0.03347,0.05099,0.02511,0.04932,0.2092,0.2108,
2.246,0.412,0.09608,0.06242,0.05698,0.09507,0.08812,0.02244,0.03347,0.05099,0.02511,0.04932,0.2092,0.2108,
